aimag,station_nam,index,lat,lon,hhh
Хөвсгөл,Эрдэнэбулган,202,50.11986111,101.5824444,1150.0
Сүхбаатар,Мөнххаан,753,47.30833333,111.6243889,1225.0
Хэнтий,Баян-Овоо,302,47.78588889,112.1106111,926.0
Хэнтий,Гурванбаян,919,48.18475,110.3228056,1206.0
Хэнтий,Баянмөнх,909,46.90183333,109.7583056,1243.0
Хэнтий,Жаргалтхаан,913,47.48683333,109.4733056,1034.0
Хэнтий,Дэлгэрхаан,912,47.1815,109.1903333,1339.0
Хэнтий,Цэнхэрмандал,918,47.74711111,109.0562222,1434.0
Хэнтий,Батширээт,907,48.68841667,110.1710833,1032.0
Хэнтий,Батноров,906,47.94708333,111.5041111,1106.0
Хэнтий,Баян-Адрага,908,48.5515,111.07175,1112.0
Хэнтий,Өлзийт,916,48.69163889,111.9871667,1324.0
Хэнтий,Өндөрхаан,304,47.50780556,110.1835,1030.0
Хэнтий,Биндэр,257,48.61597222,110.5993056,1050.0
Хэнтий,Хэрлэнбаян-Улаан,301,47.21361111,108.7377222,1251.0
Хэнтий,Дадал,254,49.02225,111.6116667,940.0
Хэнтий,Оргил,299,46.63177778,109.4094444,1272.0
Хэнтий,Өмнөдэлгэр,303,47.89183333,109.8028333,1050.0
Хэнтий,Галшар,307,46.24286111,110.8400833,1181.0
Дархан-Уул,Дархан,244,49.49023611,105.9397833,707.0
Дархан-Уул,Шаазгайт,251,49.24458889,106.4118472,910.0
Орхон,Эрдэнэт-Овоо,236,49.03677778,104.0853889,1300.0
Орхон,Улаантолгой,19,49.06638888,104.4136111,1052.0
ГовьСүмбэр,Чойр,298,46.35063056,108.3937389,1286.0
Нийслэл,Амгалан,249,47.91129167,106.9971139,1315.0
Нийслэл,Багануур,296,47.80650556,108.3389083,1375.0
Нийслэл,Улаанбаатар,292,47.91844722,106.8478889,1303.0
Нийслэл,Тэрэлж,248,47.98866389,107.4565639,1523.0
Нийслэл,Буянт-Ухаа,291,47.84943611,106.7547833,1271.0
Нийслэл,Өлзийт,942,47.79641111,106.7031167,1360.0
Нийслэл,Партизан,941,48.12588611,106.6270389,1321.0
Төв,Зуунмод,290,47.64059,106.9804,1549.0
Нийслэл,Хуурай мухар,951,48.066,106.901,1415.0
Нийслэл,Хан-Уул,226,47.9002624,106.89904,1284.0
Нийслэл,Буянт-Ухаа,291,47.84,106.7415,1271.0
Нийслэл,Залаат,2922,47.8804,106.9804,1354.0
Төв,Нөхөрлөл,810,47.64059,105.9377,1236.0
