№,Төрөл,Харуулын нэрс,Сум_Аймаг_Хот,Өргөрөг,Уртраг
133,Нуур,Хар Ус - Дөргөн,Ховд,49.09755,91.97541944
134,Нуур,Хяргас - Хартэрмэс,Увс,49.31706111,93.16395278
135,Нуур,Увс - Давст,Увс,50.53066167,92.471745
136,Нуур,Тэрхийн Цагаан - Тариат,Архангай,47.75907778,102.8090806
137,Нуур,Бөөнцагаан - Баацагаан,Баянхонгор,45.61575,99.24155278
138,Нуур,Орог - Богд,Баянхонгор,45.06896944,100.664175
139,Нуур,Хөх - Гурванбулаг,Баянхонгор,47.4752,98.56958056
140,Нуур,Ганга - Дарьганга,Сүхбаатар,45.30415556,113.8128111
141,Нуур,Дуут - Дарьганга,Сүхбаатар,45.39113889,113.8961528
142,Нуур,Харгал - Тэшиг,Булган,49.90766111,102.7377222
143,Нуур,Өгий - Өгийнуур,Өвөрхангай,48.144025,99.79745833
144,Нуур,Хөх нуур - 37 дугаар зөрлөг,Дорнод,49.54915278,115.612275
145,Нуур,Хар нуур - Дөрвөлжин,Завхан,48.04053333,93.28334722
146,Нуур,Тайгам - Дэлгэр,Говь-Алтай,46.38369444,97.41685834
147,Нуур,Ойгон - Түдэвтэй,Завхан,49.20681944,96.64613889
