Аймаг;№;Сумын нэр;Өртөө/Харуулын нэр;Өргөрөг;Уртраг;Өндөр
ӨВӨРХАНГАЙ;11;Гучин-Ус;Гучин-Ус;45.46311;102.42473;1474.43
ӨВӨРХАНГАЙ;12;Уянга;Уянга;46.4626;102.2842;1994.0
ӨВӨРХАНГАЙ;13;Хайрхандулаан;Хайрхандулаан;45.96179;102.05615;1888.71
ӨВӨРХАНГАЙ;14;Сант;Сант;46.09491;103.83919;1524.0
ӨВӨРХАНГАЙ;15;Нарийнтээл;Нарийнтээл;45.961;101.45337;1829.85
ӨВӨРХАНГАЙ;16;Зүүнбаян-Улаан;Зүүнбаян-Улаан;46.52599;102.59348;1882.5
ӨВӨРХАНГАЙ;17;Өлзийт;Баруунхайрхан;46.6135;103.54742;1863.0
ӨВӨРХАНГАЙ;18;Бүрд;Бүрд;46.98374;103.79299;1498.5
СЭЛЭНГЭ;1;Баянгол;Баруунхараа;48.91192;106.08642;806.61
СЭЛЭНГЭ;2;Орхон;Орхон;49.14383;105.40208;753.88
СЭЛЭНГЭ;3;Орхонтуул;Орхонтуул;48.8354;104.80641;818.93
СЭЛЭНГЭ;4;Сүхбаатар;Сүхбаатар;50.24337;106.17287;626.24
СЭЛЭНГЭ;5;Цагааннуур;Цагааннуур;50.11059;105.45188;785.66
СЭЛЭНГЭ;6;Ерөө;Ерөө;49.74913;106.66143;675.22
СЭЛЭНГЭ;7;Мандал;Зүүнхараа;48.86235;106.4429;882.0
СЭЛЭНГЭ;8;Баруунбүрэн;Баруунбүрэн;49.16876;104.84252;911.0
СЭЛЭНГЭ;9;Зүүнбүрэн;Зүүнбүрэн;50.07132;105.87402;629.68
СЭЛЭНГЭ;10;Бугант;Бугант;49.42059;107.27976;824.55
СЭЛЭНГЭ;11;Хүдэр;Хүдэр;49.77447;107.52186;699.26
СЭЛЭНГЭ;12;Түшиг;Зэлтэр;50.32123;105.04627;747.73
СЭЛЭНГЭ;13;Хушаат;Хушаат;49.67586;105.82117;665.3
СҮХБААТАР;1;Баруун-Урт;Баруун-Урт;46.6712;113.28456;978.83
СҮХБААТАР;2;Баяндэлгэр;Баяндэлгэр;45.73024;112.35533;1101.5
СҮХБААТАР;3;Дарьганга;Дарьганга;45.30348;113.84404;1243.73
СҮХБААТАР;4;Эрдэнэцагаан;Эрдэнэцагаан;45.91054;115.37712;1071.1
СҮХБААТАР;5;Түмэнцогт;Түмэнцогт;47.57809;112.34941;988.05
СҮХБААТАР;6;Мөнххаан;Мөнххаан;46.97473;112.05086;1227.2
СҮХБААТАР;7;Сүхбаатар;Сүхбаатар;46.76824;113.87497;897.8
СҮХБААТАР;8;Асгат;Асгат;46.36676;113.57519;1045.58
СҮХБААТАР;9;Халзан;Халзан;46.16889;112.94366;1048.0
СҮХБААТАР;10;Наран;Наран;45.12959;113.67624;1242.05
СҮХБААТАР;11;Уулбаян;Уулбаян;46.49152;112.35342;1034.35
СҮХБААТАР;12;Онгон;Онгон;45.3555;113.12843;1051.0
СҮХБААТАР;13;Түвшинширээ;Түвшинширээ;46.20995;111.8049;1110.87
ТӨВ;1;Алтанбулаг;Алтанбулаг;47.69528;106.40991;1216.86
ТӨВ;2;Баянчандмань;Баянчандмань;48.22778;106.28482;1256.61
ТӨВ;3;Баян-Өнжүүл;Баян-Өнжүүл;47.04042;105.95371;1213.33
ТӨВ;4;Бүрэн;Бүрэн;46.9173;105.04672;1274.21
ТӨВ;5;Эрдэнэсант;Эрдэнэсант;47.33335;104.49308;1357.73
ТӨВ;6;Жаргалант;Жаргалант;48.52645;105.8808;1010.0
ТӨВ;7;Лүн;Лун;47.86664;105.25094;1011.0
ТӨВ;8;Баян;Мааньт;47.25651;107.538;1426.42
ТӨВ;9;Мөнгөнморьт;Мөнгөнморьт;48.20636;108.48483;1430.8
ТӨВ;10;Угтаалцайдам;Угтаал;48.25763;105.40614;1149.39
ТӨВ;11;Зуунмод;Зуунмод;47.70766;106.93483;1548.5
ТӨВ;12;Цээл;Залуучууд;48.45027;105.31847;1059.62
ТӨВ;13;Өндөрширээт;Өндөрширээт;47.4491;105.05536;1040.0
ТӨВ;14;Баянцагаан;Баянцагаан;46.77648;107.14226;1362.22
ТӨВ;15;Аргалант;Нөхөрлөл;47.94743;105.89932;1238.11
ТӨВ;16;Батсүмбэр;Батсүмбэр;48.3572;106.73322;1175.0
ТӨВ;17;Борнуур;Борнуур;48.46881;106.26034;1022.16
ТӨВ;18;Заамар;Заамар;48.21756;104.77;1162.08
ТӨВ;19;Эрдэнэ;Эрдэнэ;47.71412;107.79089;1574.0
ТӨВ;20;Баянжаргалан;Баянжаргалан;47.17827;108.25767;1375.0
ТӨВ;21;Дэлгэрхаан;Дэлгэрхаан;46.62269;104.56471;1556.69
УЛААНБААТАР;1;Улаанбаатар;Багануур;47.78;108.38;1375.0
УЛААНБААТАР;2;Улаанбаатар;Буянт-Ухаа;47.8415;106.7649;1271.0
УЛААНБААТАР;3;Улаанбаатар;Тэрэлж;47.98861;107.45639;1523.0
УЛААНБААТАР;4;Улаанбаатар;Улаанбаатар;47.91873;106.84793;1306.0
УЛААНБААТАР;5;Улаанбаатар;Өлзийт;47.78388;106.71821;1359.0
УЛААНБААТАР;6;Улаанбаатар;Партизан;48.35165;106.66649;1235.0
