aimag_name;sum_name;location_type;name;lat;lon;elevation_m;notes
ГОВЬ-АЛТАЙ;Эрдэнэ;WEATHER;Эрдэнэ;45.16442;97.70118;2451.0;
ГОВЬ-АЛТАЙ;Төгрөг;WEATHER;Төгрөг;45.83117;94.80602;1704.5;
ГОВЬ-АЛТАЙ;Цахир;WEATHER;Цахир;46.71516;96.52168;1643.8;
ГОВЬ-АЛТАЙ;Цээл;WEATHER;Цээл;45.56882;95.87332;2083.67;
ГОВЬ-АЛТАЙ;Халиун;WEATHER;Халиун;45.9276;96.15858;1447.3;
ГОВЬ-АЛТАЙ;Бигэр;WEATHER;Бигэр;45.7099;97.16753;1359.6;
ӨМНӨГОВЬ;Даланзадгад;WEATHER;Даланзадгад;43.57713;104.41868;1467.47;
ӨМНӨГОВЬ;Гурвантэс;WEATHER;Гурвантэс;43.23086;101.04282;1726.32;
ӨМНӨГОВЬ;Ханбогд;WEATHER;Ханбогд;43.19569;107.19372;1114.55;
ӨМНӨГОВЬ;Манлай;WEATHER;Манлай;44.08163;106.86556;1303.53;
ӨМНӨГОВЬ;Булган;WEATHER;Булган;44.09596;103.53794;1301.34;
ӨМНӨГОВЬ;Цогт-Овоо;WEATHER;Цогт-Овоо;43.73159;105.5759;1488.9;
ӨМНӨГОВЬ;Хүрмэн;WEATHER;Хүрмэн;43.3085;104.07007;1827.22;
ӨМНӨГОВЬ;Цогтцэций;WEATHER;Цогтцэций;43.73159;105.5759;1489.09;
ӨМНӨГОВЬ;Ноён;WEATHER;Ноён;43.14827;102.13109;1870.09;
ӨМНӨГОВЬ;Баян-Овоо;WEATHER;Баян-Овоо;42.97218;106.12457;1188.82;
ӨМНӨГОВЬ;Баяндалай;WEATHER;Баяндалай;43.4685;103.50841;1558.71;
ӨМНӨГОВЬ;Сэврэй;WEATHER;Сэврэй;43.59013;102.18148;1706.84;
ӨМНӨГОВЬ;Номгон;WEATHER;Номгон;42.84088;105.13122;1492.35;
ӨМНӨГОВЬ;Мандал-Овоо;WEATHER;Мандал-Овоо;44.65631;104.05681;1081.97;
ОРХОН;Баян-Өндөр;WEATHER;Erdenet-Ovoo;49.03659;104.08588;1301.49;
ОРХОН;Жаргалант;WEATHER;Улаантолгой;49.06639;104.41361;1056.0;
ӨВӨРХАНГАЙ;Арвайхээр;WEATHER;Арвайхээр;46.25904;102.78931;1812.77;
ӨВӨРХАНГАЙ;Баруунбаян-Улаан;WEATHER;Баруунбаян-Улаан;45.17838;101.41286;1257.99;
ӨВӨРХАНГАЙ;Баян-Өндөр;WEATHER;Баян-Өндөр;46.49829;104.11224;1626.41;
ӨВӨРХАНГАЙ;Богд;WEATHER;Богд;44.67458;102.17675;1519.0;
ӨВӨРХАНГАЙ;Хархорин;WEATHER;Хархорин;47.19471;102.82974;1475.48;
ӨВӨРХАНГАЙ;Хужирт;WEATHER;Хужирт;46.89971;102.77879;1661.67;
ӨВӨРХАНГАЙ;Төгрөг;WEATHER;Terper;45.53904;102.99907;1408.5;
ӨВӨРХАНГАЙ;Есөнзүйл;WEATHER;Есөнзүйл;46.76166;103.51313;1740.5;
ӨВӨРХАНГАЙ;Бат-Өлзий;WEATHER;Бат-Өлзий;46.81341;102.24223;1695.91;
ӨВӨРХАНГАЙ;Баянгол;WEATHER;Баянгол;45.80737;103.44555;1459.0;
ӨВӨРХАНГАЙ;Гучин-Ус;WEATHER;Гучин-Ус;45.46311;102.42473;1474.43;
ӨВӨРХАНГАЙ;Уянга;WEATHER;Уянга;46.4626;102.2842;1994.0;
ӨВӨРХАНГАЙ;Хайрхандулаан;WEATHER;Хайрхандулаан;45.96179;102.05615;1888.71;
ӨВӨРХАНГАЙ;Сант;WEATHER;Сант;46.09491;103.83919;1524.0;
ӨВӨРХАНГАЙ;Нарийнтээл;WEATHER;Нарийнтээл;45.961;101.45337;1829.85;
ӨВӨРХАНГАЙ;Зүүнбаян-Улаан;WEATHER;Зүүнбаян-Улаан;46.52599;102.59348;1882.5;
ӨВӨРХАНГАЙ;Өлзийт;WEATHER;Баруунхайрхан;46.6135;103.54742;1863.0;
ӨВӨРХАНГАЙ;Бүрд;WEATHER;Бүрд;46.98374;103.79299;1498.5;
СЭЛЭНГЭ;Баянгол;WEATHER;Баруунхараа;48.91192;106.08642;806.61;
СЭЛЭНГЭ;Орхон;WEATHER;Орхон;49.14383;105.40208;753.88;
СЭЛЭНГЭ;Орхонтуул;WEATHER;Орхонтуул;48.8354;104.80641;818.93;
СЭЛЭНГЭ;Сүхбаатар;WEATHER;Сүхбаатар;50.24337;106.17287;626.24;
СЭЛЭНГЭ;Цагааннуур;WEATHER;Цагааннуур;50.11059;105.45188;785.66;
СЭЛЭНГЭ;Ерөө;WEATHER;Ерөө;49.74913;106.66143;675.22;
СЭЛЭНГЭ;Мандал;WEATHER;Зүүнхараа;48.86235;106.4429;882.0;
СЭЛЭНГЭ;Баруунбүрэн;WEATHER;Баруунбүрэн;49.16876;104.84252;911.0;
СЭЛЭНГЭ;Зүүнбүрэн;WEATHER;Зүүнбүрэн;50.07132;105.87402;629.68;
СЭЛЭНГЭ;Бугант;WEATHER;Бугант;49.42059;107.27976;824.55;
СЭЛЭНГЭ;Хүдэр;WEATHER;Хүдэр;49.77447;107.52186;699.26;
СЭЛЭНГЭ;Түшиг;WEATHER;Зэлтэр;50.32123;105.04627;747.73;
СЭЛЭНГЭ;Хушаат;WEATHER;Хушаат;49.67586;105.82117;665.3;
СҮХБААТАР;Баруун-Урт;WEATHER;Баруун-Урт;46.6712;113.28456;978.83;
СҮХБААТАР;Баяндэлгэр;WEATHER;Баяндэлгэр;45.73024;112.35533;1101.5;
СҮХБААТАР;Дарьганга;WEATHER;Дарьганга;45.30348;113.84404;1243.73;
СҮХБААТАР;Эрдэнэцагаан;WEATHER;Эрдэнэцагаан;45.91054;115.37712;1071.1;
СҮХБААТАР;Түмэнцогт;WEATHER;Түмэнцогт;47.57809;112.34941;988.05;
СҮХБААТАР;Мөнххаан;WEATHER;Мөнххаан;46.97473;112.05086;1227.2;
СҮХБААТАР;Сүхбаатар;WEATHER;Сүхбаатар;46.76824;113.87497;897.8;
СҮХБААТАР;Асгат;WEATHER;Асгат;46.36676;113.57519;1045.58;
СҮХБААТАР;Халзан;WEATHER;Халзан;46.16889;112.94366;1048.0;
СҮХБААТАР;Наран;WEATHER;Наран;45.12959;113.67624;1242.05;
СҮХБААТАР;Уулбаян;WEATHER;Уулбаян;46.49152;112.35342;1034.35;
СҮХБААТАР;Онгон;WEATHER;Онгон;45.3555;113.12843;1051.0;
СҮХБААТАР;Түвшинширээ;WEATHER;Түвшинширээ;46.20995;111.8049;1110.87;
ТӨВ;Алтанбулаг;WEATHER;Алтанбулаг;47.69528;106.40991;1216.86;
ТӨВ;Баянчандмань;WEATHER;Баянчандмань;48.22778;106.28482;1256.61;
ТӨВ;Баян-Өнжүүл;WEATHER;Баян-Өнжүүл;47.04042;105.95371;1213.33;
ТӨВ;Бүрэн;WEATHER;Бүрэн;46.9173;105.04672;1274.21;
ТӨВ;Эрдэнэсант;WEATHER;Эрдэнэсант;47.33335;104.49308;1357.73;
ТӨВ;Жаргалант;WEATHER;Жаргалант;48.52645;105.8808;1010.0;
ТӨВ;Лүн;WEATHER;Лун;47.86664;105.25094;1011.0;
ТӨВ;Баян;WEATHER;Мааньт;47.25651;107.538;1426.42;
ТӨВ;Мөнгөнморьт;WEATHER;Мөнгөнморьт;48.20636;108.48483;1430.8;
ТӨВ;Угтаалцайдам;WEATHER;Угтаал;48.25763;105.40614;1149.39;
ТӨВ;Зуунмод;WEATHER;Зуунмод;47.70766;106.93483;1548.5;
ТӨВ;Цээл;WEATHER;Залуучууд;48.45027;105.31847;1059.62;
ТӨВ;Өндөрширээт;WEATHER;Өндөрширээт;47.4491;105.05536;1040.0;
ТӨВ;Баянцагаан;WEATHER;Баянцагаан;46.77648;107.14226;1362.22;
ТӨВ;Аргалант;WEATHER;Нөхөрлөл;47.94743;105.89932;1238.11;
ТӨВ;Батсүмбэр;WEATHER;Батсүмбэр;48.3572;106.73322;1175.0;
ТӨВ;Борнуур;WEATHER;Борнуур;48.46881;106.26034;1022.16;
ТӨВ;Заамар;WEATHER;Заамар;48.21756;104.77;1162.08;
ТӨВ;Эрдэнэ;WEATHER;Эрдэнэ;47.71412;107.79089;1574.0;
ТӨВ;Баянжаргалан;WEATHER;Баянжаргалан;47.17827;108.25767;1375.0;
ТӨВ;Дэлгэрхаан;WEATHER;Дэлгэрхаан;46.62269;104.56471;1556.69;
УЛААНБААТАР;Улаанбаатар;WEATHER;Багануур;47.78;108.38;1375.0;
УЛААНБААТАР;Улаанбаатар;WEATHER;Буянт-Ухаа;47.8415;106.7649;1271.0;
УЛААНБААТАР;Улаанбаатар;WEATHER;Тэрэлж;47.98861;107.45639;1523.0;
УЛААНБААТАР;Улаанбаатар;WEATHER;Улаанбаатар;47.91873;106.84793;1306.0;
УЛААНБААТАР;Улаанбаатар;WEATHER;Өлзийт;47.78388;106.71821;1359.0;
УЛААНБААТАР;Улаанбаатар;WEATHER;Партизан;48.35165;106.66649;1235.0;
УВС;Баруунтуруун;WEATHER;Баруунтуруун;49.65855;94.4042;1233.0;
УВС;Ховд;WEATHER;Хөхтолгой;49.28229;90.91695;1419.68;
УВС;Өмнөговь;WEATHER;Хар-Ус;49.10486;91.7263;1591.0;
УВС;Малчин;WEATHER;Малчин;49.72893;93.27031;1393.4;
УВС;Наранбулаг;WEATHER;Наранбулаг;49.38307;92.58559;1142.8;
УВС;Өндөрхангай;WEATHER;Өндөрхангай;49.26809;94.85883;1862.23;
УВС;Тэс;WEATHER;Тэс;50.47688;93.60313;799.7;
УВС;Улаангом;WEATHER;Улаангом;49.97202;92.07824;938.85;
УВС;Завхан;WEATHER;Завхан;48.82408;93.09839;1050.1;
УВС;Цагаанхайрхан;WEATHER;Цагаанхайрхан;49.39827;94.24982;1745.0;
УВС;Өлгий;WEATHER;Өлгий;49.03565;92.03541;1584.4;
УВС;Давст;WEATHER;Давст;50.61776;92.39906;864.74;
УВС;Сагил;WEATHER;Сагил;50.33782;91.61528;1132.4;
УВС;Зүүнговь;WEATHER;Зүүнговь;49.90683;93.78506;996.0;
УВС;Зүүнхангай;WEATHER;Зүүнхангай;49.31304;95.4494;1790.6;
УВС;Хяргас;WEATHER;Хяргас;49.67515;93.77844;1371.5;
УВС;Түргэн;WEATHER;Түргэн;50.09718;91.66772;1225.6;
УВС;Баруунмөрөн;WEATHER;Баруунмөрөн;49.66751;90.29621;1486.79;
ХЭНТИЙ;Баян-Овоо;WEATHER;Баян-Овоо;48.61586;110.59964;1049.9;
ХЭНТИЙ;Биндэр;WEATHER;Биндэр;48.61586;110.59964;1049.9;
ХЭНТИЙ;Дадал;WEATHER;Дадал;49.02229;111.61208;994.31;
